num_C,num_F,num_O,num_P,num_S,num_B,HOMO,LUMO,min_ESP,max_ESP,MPI,R,La,Lb,Lc,MW,TPSA,C,HBA,Binding energy
1,3,3,0,1,0,-0.09863,0.23484,-74.419685,-122.825939,4.54102901,2.788,5.683,5.687,5.534,149.07,65.6,145,6,1
0,0,0,0,0,1,-0.1227,0.2038,-83.830444,-108.757374,4.28728845,2.69288,6.161,6.145,6.568,152.6,0,19.1,1,0
2,3,2,0,0,0,-0.07304,0.1996,-87.931982,-137.453634,4.78971229,2.67976,5.379,5.668,5.117,113.02,40.1,77.9,5,1
1,0,0,0,1,0,-0.02967,0.24341,-98.540922,-126.529241,5.1497777,2.542,3.6,3.6,6.2,58.08,24.8,31.3,2,0
0,6,0,1,0,0,-0.18795,0.24207,-105.898757,-118.425919,4.90182167,2.5502,6.22,6.22,6.22,144.964181,0,62.7,7,1
6,0,0,0,1,0,-0.00686,0.14315,-54.643621,-122.33123,4.09236089,3.56782,6.694,8.702,3.6,109.17,1,46.1,1,1
2,0,2,0,0,0,-0.02722,0.20263,-54.643621,-153.686081,5.0599041,2.46902,5.041,5.313,4.159,59.04,40.1,25.5,2,1
0,0,4,0,0,0,-0.09994,0.22834,-111.118311,-124.501878,5.10674119,2.24844,5.109,5.14,5.485,99.45,74.3,95.8,4,0
0,0,0,0,0,0,0.01223,0.28293,-127.286117,-134.860609,5.69161878,2.24188,3.1,3.1,5.468,42.021,3,15.5,2,0
1,0,0,0,1,0,0.03902,0.2126,-84.325624,-139.552355,5.1978086,2.24516,3.93,5.257,4.167,47.1,1,2,1,0
0,0,2,1,0,0,-0.0584,0.22388,-89.258626,-142.886012,5.18873838,2.33864,4.583,5.703,4.392,64.989,40.1,7.5,2,1
0,4,0,0,0,1,-0.15889,0.23665,-117.809755,-130.412212,5.36516797,2.15168,4.994,4.919,5.248,86.81,0,19.1,5,0
1,0,2,0,0,0,-0.02393,0.26173,-96.263159,-153.485737,5.67008184,2.17956,3.04,5.315,4.39,45.017,40.1,7.5,2,1
0,0,3,0,0,0,-0.03089,0.18436,-112.470648,-142.251124,5.58194201,2.14102,3.04,5.221,4.929,62.005,62.9,18.8,3,1
0,0,0,0,0,1,-0.06243,0.2418,-118.800336,-138.190682,5.60951257,1.8122,3.988,4.386,4.42,14.85,0,0,1,0
1,0,0,0,0,0,-0.03323,0.29051,-142.004244,-135.845845,6.04044246,1.81302,3.1,3.1,4.423,26.017,23.8,10,2,1
1,0,1,0,0,0,0.04309,0.2317,-157.806912,-103.00853,5.6687433,1.98194,3.945,4.567,4.184,33.046,23.1,2,1,0
